barra_codigo,barra_nombre,region
CANTERAS______110,BA S/E LAS CANTERAS 110KV BP1,Desconocida
CANUTILLAR____013,BA S/E CENTRAL CANUTILLAR 13.8KV B1,Desconocida
CANUTILLAR____220,BA S/E CANUTILLAR 220KV BP1-1,Desconocida
CAPRICORNIO___110,BA S/E CAPRICORNIO 110KV BP,Desconocida
CAPRICORNIO___220,BA S/E CAPRICORNIO 220KV BP1 [NO_MOSTRAR],Desconocida
CAPULLO_______066,BA S/E CAPULLO 66KV,Desconocida
CARAMPANGUE___013,BA S/E CARAMPANGUE 13.2KV,Desconocida
CARAMPANGUE___023,BA S/E CARAMPANGUE 23KV,Desconocida
CARAMPANGUE___066,BA S/E CARAMPANGUE 66KV,Desconocida
CARDONAL______023,BA S/E CARDONAL 23kV BP1,Desconocida
CARDONAL______110,BA S/E CARDONAL 110kV BP1,Desconocida
CARDONES______110,BA S/E CARDONES 110KV BP1-1,Atacama
CARDONES______220,BA S/E CARDONES 220KV BP1-1,Atacama
CAREBAJO______023,BA S/E CAREN BAJO 23KV,Desconocida
CARENA________044,BA S/E CARENA 44KV,Desconocida
CARRASCAL_____012,BA S/E CARRASCAL 12KV BP1,Desconocida
CARRASCAL_____110,BA S/E CARRASCAL 110KV BP1,Desconocida
CASABLANCA____013,BA S/E CASABLANCA 12kV BP1,Desconocida
CASABLANCA____066,BA S/E CASABLANCA 66kV BP1,Desconocida
CASASVIEJAS___023,BA S/E CASAS VIEJAS 13.2KV,Desconocida
CASASVIEJAS___110,BA S/E CASAS VIEJAS 110KV,Desconocida
CASERONES_____220,BA S/E CASERONES 220KV BP1-1,Desconocida
CASTILLA______023,BA S/E CASTILLA 23KV,Desconocida
CASTILLA______110,BA S/E CASTILLA 110KV BP1,Desconocida
CASTRO________023,BA S/E CASTRO 23KV,Los Lagos
CASTRO________110,BA S/E CASTRO 110KV BP1,Los Lagos
CATEMU________013,BA S/E CATEMU 12kV BP1,Desconocida
CATEMU________044,BA S/E CATEMU 44kV BP1,Desconocida
CAUQUENES_____013,BA S/E CAUQUENES 13.2KV BP1,Desconocida
CAUQUENES_____066,BA S/E CAUQUENES 66KV,Desconocida
CAUTIN________220,BA S/E CAUTIN 220KV BP1,Desconocida
CD.ARICA______013,BA S/E CENTRAL DIESEL ARICA 13.8KV BP1,Arica y Parinacota
CD.ARICA______066,BA S/E CENTRAL DIESEL ARICA 66KV BP1,Arica y Parinacota
CD.IQUIQUE____013,BA S/E CENTRAL DIESEL IQUIQUE 13.8KV BP1 [NO_MOSTRAR],Tarapacá
CD.IQUIQUE____066,BA S/E CENTRAL DIESEL IQUIQUE 66KV [NO_MOSTRAR],Tarapacá
CD.TAMAYA_____110,BA S/E CENTRAL DIESEL TAMAYA 110KV BP,Desconocida
CELPACIFICO___013,BA S/E CELULOSA PACIFICO 13.2KV B1,Desconocida
CELPACIFICO___220,BA S/E CELULOSA PACIFICO 220KV BP1,Desconocida
CENTELLA______220,BA S/E CENTELLA 220kV BP1,Desconocida
CENTINELA_____220,BA S/E CENTINELA 220KV BP1 (AIS),Desconocida
CENTRAL_ELEC__013,,Desconocida
CENTRAL_ELEC__023,,Desconocida
CENTRO________023,BA S/E CENTRO 23KV,Desconocida
CENTRO________110,BA S/E CENTRO 110KV BP,Desconocida
CERRILLOS_____013,BA S/E CERRILLOS 23KV,Desconocida
CERRILLOS_____110,BA S/E CERRILLOS 110KV BP1,Desconocida
CERROCOLORADO_110,BA S/E CERRO COLORADO 110KV,Desconocida
CERRONEGRONOR_220,BA S/E CERRO NEGRO NORTE 220KV BP1,Desconocida
CERRO_CHEPE1__066,BA S/E TAP OFF CERRO CHEPE 66 kV BP1-S2 [NO_MOSTRAR],Desconocida
CERRO_CHEPE2__066,BA S/E TAP OFF CERRO CHEPE 66 kV BP1-S1 [NO_MOSTRAR],Desconocida
CHACABUCO_____013,BA S/E CHACABUCO 12.5KV BP1,Desconocida
CHACABUCO_____023,BA S/E CHACABUCO 23KV BP2,Desconocida
CHACABUCO_____110,BA S/E CHACABUCO 110KV BP1,Desconocida
CHACAHUIN_____013,BA S/E CHACAHUIN 15KV BP1,Desconocida
CHACAHUIN_____066,BA S/E CHACAHUIN 66KV,Desconocida
CHACAYA2______110,BA S/E CHACAYA 110KV BP2,Desconocida
CHACAYA_______004,,Desconocida
CHACAYA_______110,BA S/E CHACAYA 110KV BP1,Desconocida
CHACAYA_______220,BA S/E CHACAYA 220KV BP1,Desconocida
CHACA_________220,,Desconocida
CHAGRES_______110,BA S/E FUNDICION CHAGRES 110KV BP1,Desconocida
CHAGUAL_______023,BA S/E CENTRAL CHAGUAL BP 23KV,Desconocida
CHAGUAL_______220,,Desconocida
CHANARAL______023,BA S/E CHAÑARAL 23KV,Desconocida
CHAPIQUINA____013,BA S/E CENTRAL CHAPIQUIÑA 13.2KV [NO_MOSTRAR],Arica y Parinacota
CHAPIQUINA____066,BA S/E CENTRAL CHAPIQUIÑA 66KV BP1,Arica y Parinacota
CHARRUA_______013,BA S/E CHARRUA 13.2KV,Biobío
CHARRUA_______066,BA S/E CHARRUA 66KV BP1,Biobío
CHARRUA_______154,BA S/E CHARRUA 154KV BP1,Biobío
CHARRUA_______220,BA S/E CHARRUA 220KV BP1-1,Biobío
CHARRUA_______500,BA S/E CHARRUA 500KV BP1-1,Biobío
CHCONDORES____013,,Desconocida
CHCONDORES____220,,Desconocida
CHICUREO______023,BA S/E CHICUREO 23KV BA1,Desconocida
CHICUREO______220,BA S/E CHICUREO 220KV BP1,Desconocida
CHIGUAYANTE___015,BA S/E CHIGUAYANTE 15KV,Biobío
CHIGUAYANTE___066,BA S/E CHIGUAYANTE 66KV B1,Biobío
CHILLAN_______013,BA S/E CHILLAN 13.2KV B1,Ñuble
CHILLAN_______066,BA S/E CHILLAN 66KV BP2,Ñuble
CHILLAN_______154,BA S/E CHILLAN 154 kV BP2 [NO_MOSTRAR],Ñuble
CHILOE________110,BA S/E CHILOE 110KV BP1,Los Lagos
CHILOE________220,BA S/E CHILOE 220KV BP1,Los Lagos
CHIMBARONGO___013,BA S/E CHIMBARONGO 15KV B1,Desconocida
CHIMBARONGO___066,BA S/E CHIMBARONGO 66KV,Desconocida
CHIMBORAZO____220,BA S/E CHIMBORAZO 220KV BP1,Desconocida
CHINCHORRO____013,BA S/E CHINCHORRO 13.8KV BP1,Desconocida
CHINCHORRO____066,BA S/E CHINCHORRO 66KV BP1,Desconocida
CHIRRE________023,BA S/E CHIRRE 24KV BP1,Desconocida
CHIRRE________110,BA S/E CHIRRE 110KV BP1,Desconocida
CHIU_CHIU_____110,BA S/E CHIU CHIU 110KV BP2,Desconocida
CHIVILCAN_____013,BA S/E CHIVILCAN 15KV B1,Desconocida
CHIVILCAN_____066,BA S/E CHIVILCAN 66KV B1,Desconocida
CHOAPA________110,BA S/E CHOAPA 110KV BP1,Desconocida
CHOCALAN______013,BA S/E CHOCALAN 13.2KV,Desconocida
CHOCALAN______066,BA S/E CHOCALAN 66KV,Desconocida
CHOLGUAN______013,BA S/E CHOLGUAN (STS) 13.2KV BP,Desconocida
CHOLGUAN______066,,Desconocida
CHOLGUAN______220,BA S/E CHOLGUAN (STS) 220KV,Desconocida
CHOMECO_______220,,Desconocida
CHONCHI_______013,BA S/E CHONCHI 23KV,Desconocida
CHONCHI_______110,BA S/E CHONCHI 110KV BP1,Desconocida
CHUMAQUITO____013,BA S/E CHUMAQUITO 15KV BP1,Desconocida
CHUMAQUITO____066,BA S/E CHUMAQUITO 66KV BP1,Desconocida
CHUMPULLO_____066,BA S/E CHUMPULLO 66KV,Los Ríos
CHUQUICAMATA__100,BA S/E CHUQUICAMATA 100KV BP1,Desconocida
CHUQUICAMATA__220,BA S/E CHUQUICAMATA 220KV BP1,Desconocida
CHUSCHA_______110,,Desconocida
CIPRESES______154,BA S/E CENTRAL CIPRESES 154KV BP1,Desconocida
CIRUELITOS____013,BA S/E CIRUELITO 13.2KV,Desconocida
CIRUELITOS____033,,Desconocida
CIRUELOS______220,BA S/E CIRUELOS 220KV BP1,Desconocida
CKHURI________220,BA S/E CKHURI 220kV BP1 [EN_REVISION],Desconocida
CLEONES_1_____220,BA S/E CENTRAL PARQUE EOLICO CABO LEONES I 220KV BP1,Desconocida
CLUB_HIPICO___013,BA S/E CLUB HIPICO 12KV BP1,Desconocida
CLUB_HIPICO___110,BA S/E CLUB HIPICO 110KV BP1,Desconocida
CNTALTAL______015,,Desconocida
CNTALTAL______220,BA S/E CENTRAL PARQUE EOLICO TALTAL 220KV BP,Desconocida
COCHARCAS2____013,BA S/E COCHARCAS (CGE) 15KV,Desconocida
COCHARCAS_____013,BA S/E COCHARCAS 13.8KV,Desconocida
COCHARCAS_____066,BA S/E COCHARCAS (FFCC) 66KV,Desconocida
COCHRANE______220,BA S/E COCHRANE 220KV BP1,Desconocida
CODEGUA_______066,BA S/E CODEGUA 66kV BP1,Desconocida
CODEGUA_______110,BA S/E CODEGUA 110kV BP1-S1,Desconocida
COLACO________013,BA S/E COLACO 23KV B2,Desconocida
COLACO________066,BA S/E COLACO 66KV [NO_MOSTRAR],Desconocida
COLACO________110,BA S/E COLACO 110KV BP1,Desconocida
COLBUN2_______220,,Maule
COLBUN________013,BA S/E COLBUN 13.8KV BP1,Maule
COLBUN________220,BA S/E COLBUN 220KV BP1,Maule
COLCHAGUA_____015,BA S/E COLCHAGUA 15KV BP1,Desconocida
COLCHAGUA_____066,BA S/E COLCHAGUA 66KV,Desconocida
COLCURA_______015,BA S/E CARDONES 110KV BP2 [NO_MOSTRAR],Atacama
COLCURA_______066,,Desconocida
COLLAHUASI____220,BA S/E COLLAHUASI 220KV BP1,Desconocida
COLLIPULLI____013,BA S/E COLLIPULLI 13.2KV,Desconocida
COLLIPULLI____066,BA S/E COLLIPULLI 66KV,Desconocida
COLOCOLO______013,BA S/E COLO COLO 15KV,Desconocida
COLOCOLO______066,BA S/E COLO COLO 66KV,Desconocida
COLOSO________220,BA S/E COLOSO 220KV BP1,Desconocida
COMBARBALA____013,BA S/E COMBARBALA 13.2KV B1,Desconocida
COMBARBALA____066,BA S/E COMBARBALA 66KV,Desconocida
COMPANIA______013,BA S/E LAS COMPAÑIAS 13.2KV,Desconocida
COMPANIA______110,BA S/E LAS COMPAÑIAS 110KV BP1,Desconocida
CONCEPCION____066,BA S/E CONCEPCION (FFCC) 66KV,Biobío
CONCEPCION____154,BA S/E CONCEPCION 154KV BT1,Biobío
CONCEPCION____220,BA S/E CONCEPCION 220KV BP1,Biobío
CONCHI________220,BA S/E CONCHI 220KV BP,Desconocida
CONCON________013,BA S/E CONCON 12kV BP1,Desconocida
CONCON________110,BA S/E CONCON 110KV BP1,Desconocida
CONDORES______110,BA S/E CONDORES 110kV BP1,Desconocida
CONDORES______220,BA S/E CONDORES 220kV BP1,Desconocida
CONSTIT.______066,BA S/E CONSTITUCION 66KV BP1,Desconocida
CONSTIT1______023,BA S/E CONSTITUCION 23KV BP1,Desconocida
CONSTIT2______023,BA S/E CONSTITUCION 23KV BP2 [No_Mostrar],Desconocida
CONVENTOVIEJO_154,BA S/E SECCIONADORA CONVENTO VIEJO 154KV BP1,Desconocida
COPAYAPU______110,BA S/E COPAYAPU 110KV BP1,Desconocida
COPIAPO_______013,BA S/E COPIAPO 13.8KV B1,Atacama
COPIAPO_______110,BA S/E COPIAPO 110KV BP1,Atacama
COPIHUES______066,,Desconocida
COPIHUES______110,BA S/E COPIHUES 110KV BP1,Desconocida
CORONEL_______015,BA S/E CORONEL 15KV BP1,Desconocida
CORONEL_______066,BA S/E CORONEL 66KV BP1,Desconocida
CORONEL_______154,BA S/E CORONEL 154KV BP1,Desconocida
CORRALES______023,BA S/E CENTRAL CORRALES 23KV BP1,Desconocida
CORRAL________023,BA S/E CORRAL 13.2KV,Desconocida
CORRAL________066,BA S/E CORRAL 66KV,Desconocida
COSTANERA_____012,BA S/E COSTANERA 12KV,Desconocida
COSTANERA_____110,BA S/E COSTANERA 110KV BP1,Desconocida
CRUCEROSALAUX_220,,Antofagasta
CRUCERO_______220,BA S/E CRUCERO 220KV BP1,Antofagasta
CSP.C.DOMINAD_220,,Desconocida
CTIGRE________220,,Desconocida
CTR_MACHICURA_220,BA S/E CENTRAL MACHICURA 220KV BP1,Desconocida
CUMBRES_______220,BA S/E CUMBRE 220KV BP1,Desconocida
CUMBRES_______500,BA S/E CUMBRE 500KV BP1,Desconocida
CUNCO_________023,BA S/E CUNCO 23KV,Desconocida
CUNCO_________110,BA S/E CUNCO 110KV,Desconocida
CURACAUTIN____013,BA S/E CURACAUTIN 13.2KV BP1,Desconocida
CURACAUTIN____066,BA S/E CURACAUTIN 66KV BP1,Desconocida
CURACAVI______012,BA S/E CURACAVI 12KV BP1,Desconocida
CURACAVI______044,BA S/E CURACAVI 44KV B1,Desconocida
CURANILAHUEN__066,BA S/E CURANILAHUE NORTE 66KV BP1,Desconocida
CURANILAHUE___013,BA S/E CURANILAHUE 13.2KV,Desconocida
CURANILAHUE___066,BA S/E CURANILAHUE 66KV,Desconocida
CURICO2_______013,BA S/E CURICO 13.2KV BP1,Maule
CURICO________013,BA S/E CURICO 13.8KV BP1,Maule
CURICO________066,BA S/E CURICO 66KV B1,Maule
