osm_id,osm_type,nombre,amenity,healthcare,lat,lon
5443799408,node,P.S. Pata Morochata (1er Nivel),hospital,hospital,-17.2724754,-66.4922005
5446618974,node,Posta de Salud Rural Pocoihuén,doctors,hospital,-41.4959574,-72.3331074
5462892241,node,CS Ayoma (1er Nivel),hospital,hospital,-18.8694284,-66.1491751
5468032820,node,Hospital Doctora Stella Molina,hospital,hospital,-31.5172363,-68.351545
5468326205,node,Hospital de Sañogasta,hospital,hospital,-29.3220819,-67.6030648
5469621433,node,Hospital Distrital Ramon Carrillo - Famatina,hospital,hospital,-28.9218077,-67.5208465
5475821622,node,Sin nombre,hospital,,-17.0906349,-68.0020666
5485607319,node,Hospital Distrital Campanas,hospital,hospital,-28.5520574,-67.6287322
5486815707,node,Sin nombre,hospital,hospital,-28.4568216,-67.1211975
5486917756,node,Hospital Distrital Dr. Osvaldo Polo - Los Robles,hospital,hospital,-28.4260873,-67.1076666
5496910465,node,Base Samu Linares,doctors,hospital,-35.8510138,-71.5908493
5507021484,node,Hospital De Area Andacollo - Dr. Antonio Gorgni,hospital,hospital,-37.1790117,-70.6720501
5526611511,node,Hospital Victorino Tagarelli - San Carlos,hospital,hospital,-33.7745914,-69.0572742
5526611729,node,Sin nombre,hospital,hospital,-33.7313041,-69.1196412
5559440133,node,Sin nombre,hospital,doctor,-17.382682,-66.1477894
5583562346,node,sala de primeros auxilios,hospital,hospital,-33.251461,-66.1795217
5728980820,node,Posta de Salud Rural Radal,doctors,hospital,-38.9858347,-72.3866282
5732485547,node,P.S. Cerrillos (1er Nivel),hospital,hospital,-21.4177693,-66.4849211
5732923234,node,P.S. Challacollo,hospital,hospital,-19.7659262,-68.2636007
5764015055,node,ERI,hospital,hospital,-29.3967424,-66.8423123
5856318087,node,Centro de Salud Sajama,hospital,hospital,-18.1345814,-68.9747932
5866226737,node,Clínica de Cuyo - Consultorios Externos,hospital,hospital,-32.8960632,-68.8407076
5866226746,node,Instituto del Corazón,hospital,hospital,-32.8942134,-68.8454799
5919538197,node,C.S. Keraya (1er Nivel),hospital,hospital,-17.2984619,-66.4584351
5924925881,node,C.S. Icari (1er Nivel),hospital,hospital,-17.0197176,-66.3467313
5947665685,node,Posta de Canteras,doctors,hospital,-37.4028656,-72.0127172
6066384414,node,Centro de Atención Primaria de la Salud El Rincón,hospital,hospital,-31.443662,-68.5442432
6083737092,node,Hospital Rural Diadema Argentina,hospital,hospital,-45.7787611,-67.6693654
6083737098,node,CAPS Centro de Atención Primaria de Salud Barrio Astra,hospital,yes,-45.7277196,-67.4856064
6088885915,node,C.S. Salinas de Garci Mendoza,hospital,hospital,-19.6341787,-67.676422
6091440746,node,Hospital Distrital Dr. Diego Catalan - Ulapes,hospital,hospital,-31.5716765,-66.2333933
6103926279,node,C.S.A. Viscachani,hospital,hospital,-17.1811057,-67.9529526
6137831613,node,P.S. Huerta Mayu,hospital,hospital,-17.6373264,-66.1144577
6152770845,node,Centro Medico Ambulatorio,hospital,hospital,-32.8970337,-68.8030627
6204776121,node,P.S. Cocani (1er Nivel),hospital,hospital,-21.2197236,-66.5518386
6214458727,node,P.S. San Vicente,hospital,hospital,-21.2669272,-66.3135639
6267130596,node,Hospital Rural Corcovado,hospital,hospital,-43.5355002,-71.4726466
6294500942,node,Posta de Salud Rural Río Verde,doctors,hospital,-52.6510584,-71.4635087
6294527578,node,Consultorio Ruiz,hospital,hospital,-31.445934,-68.5183146
6307833788,node,P.S. Carlos Machicao (1er Nivel),hospital,hospital,-19.6981429,-66.571823
6327932975,node,Posta Sanitaria,hospital,hospital,-39.6667735,-70.1407157
