IdAccident,Diames,Diasemana,Mes,Año,Hora_aprox,Comuna,CUT_REG,CUT_COM,REGION_DPA,COMUNA_DPA,Lat,Lon,gravedad,es_fin_de_semana,franja_horaria,distancia_hospital_km
1652490,27,7,10,2024,14,PUDAHUEL,13,13124,METROPOLITANA DE SANTIAGO,PUDAHUEL,-33.455049,-70.730683,Grave,1,Tarde,2.332
1652492,14,4,11,2024,7,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.514175,-72.778517,Sin lesionados,0,Mañana,7.143
1652510,15,5,11,2024,17,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.374994,-72.83609,Sin lesionados,0,Tarde,6.265
1652514,15,5,11,2024,13,VALPARAISO,5,5101,VALPARAÍSO,VALPARAÍSO,-33.195473,-71.698819,Sin lesionados,0,Tarde,18.464
1652515,22,5,11,2024,14,CUREPTO,7,7103,MAULE,CUREPTO,-35.099246,-71.988635,Grave,0,Tarde,3.016
1652517,15,5,11,2024,15,FRUTILLAR,10,10105,LOS LAGOS,FRUTILLAR,-41.085848,-73.298923,Sin lesionados,0,Tarde,12.963
1652522,16,6,11,2024,1,HUALAIHUE,10,10403,LOS LAGOS,HUALAIHUÉ,-41.999397,-72.636715,Sin lesionados,1,Madrugada,25.414
1652525,16,6,11,2024,8,LLANQUIHUE,10,10107,LOS LAGOS,LLANQUIHUE,-41.157582,-73.067422,Sin lesionados,1,Mañana,3.713
1652526,20,3,11,2024,9,CONCON,5,5103,VALPARAÍSO,CONCÓN,-32.946696,-71.512457,Sin lesionados,0,Mañana,4.562
1652541,18,1,11,2024,12,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.5097,-72.788806,Sin lesionados,0,Tarde,6.153
1652543,25,1,11,2024,7,SAN NICOLAS,16,16305,ÑUBLE,SAN NICOLÁS,-36.514919,-72.134722,Fatal,0,Mañana,10.36
1652545,21,4,11,2024,19,CONCON,5,5103,VALPARAÍSO,CONCÓN,-32.923904,-71.500891,Sin lesionados,0,Noche,7.316
1652546,20,3,11,2024,15,PUERTO MONTT,10,10101,LOS LAGOS,PUERTO MONTT,-41.425329,-72.899764,Sin lesionados,0,Tarde,3.53
1652559,20,3,11,2024,17,PELLUHUE,7,7203,MAULE,PELLUHUE,-35.872208,-72.660413,Sin lesionados,0,Tarde,18.787
1652560,17,7,11,2024,21,CARAHUE,9,9102,LA ARAUCANÍA,CARAHUE,-38.666505,-73.399312,Sin lesionados,1,Noche,14.786
1652562,17,7,11,2024,21,TRAIGUEN,9,9210,LA ARAUCANÍA,TRAIGUÉN,-38.25831,-72.637774,Leve,1,Noche,3.422
1652563,21,4,11,2024,9,LINARES,7,7401,MAULE,LINARES,-35.907546,-71.495189,Sin lesionados,0,Mañana,10.667
1652567,21,4,11,2024,19,LONGAVI,7,7403,MAULE,LONGAVÍ,-35.88115,-71.651442,Grave,0,Noche,6.23
1652572,23,6,11,2024,19,LA SERENA,4,4101,COQUIMBO,LA SERENA,-29.924673,-71.183644,Sin lesionados,1,Noche,3.508
1652579,22,5,11,2024,0,LONGAVI,7,7403,MAULE,LONGAVÍ,-35.941137,-71.668463,Sin lesionados,0,Madrugada,3.576
1652581,22,5,11,2024,21,RIO CLARO,7,7108,MAULE,RÍO CLARO,-35.279624,-71.269898,Leve,0,Noche,19.23
1652582,22,5,11,2024,20,YERBAS BUENAS,7,7408,MAULE,YERBAS BUENAS,-35.676821,-71.57281,Leve,0,Noche,14.654
1652588,22,5,11,2024,15,TIRUA,8,8207,BIOBÍO,TIRÚA,-38.115376,-73.120792,Leve,0,Tarde,9.418
