fecha,barra_codigo,barra_nombre,version,costo_marginal_usd_mwh
2026-04-01 00:00:00,BRASIL________110,BA S/E BRASIL 110KV BP1,REAL-DEF,58.3302675
2026-04-01 00:00:00,BUCALEMU______066,BA S/E BUCALEMU 66KV [NO_MOSTRAR],REAL-DEF,55.89931
2026-04-01 00:00:00,BUIN__________013,BA S/E BUIN (ENEL TRANSMISION) 13.2KV,REAL-DEF,61.2037275
2026-04-01 00:00:00,BUIN__________066,BA S/E BUIN (CGE) 66KV T1,REAL-DEF,61.00925
2026-04-01 00:00:00,BUIN__________110,BA S/E BUIN (ENEL TRANSMISION) 110KV BP1,REAL-DEF,58.4824625
2026-04-01 00:00:00,BUIN__________220,BA S/E BUIN (ENEL TRANSMISION) 220KV BAUX,REAL-DEF,58.365497500000004
2026-04-01 00:00:00,C.A_RENAICO___023,BA S/E PARQUE EOLICO RENAICO 33KV BP2,REAL-DEF,50.42296666666667
2026-04-01 00:00:00,C.BIOBIO______066,BA S/E CEMENTOS BIO BIO 66KV,REAL-DEF,58.5064225
2026-04-01 00:00:00,C.CALERA1_____062,BA S/E CERRO CALERA 60KV,REAL-DEF,58.330549999999995
2026-04-01 00:00:00,C.CALERA1_____110,BA S/E CERRO CALERA 110KV BP1,REAL-DEF,57.8497125
2026-04-01 00:00:00,C.CHENA2______220,BA S/E CHENA 220KV BP2 (AIS),REAL-DEF,56.82096
2026-04-01 00:00:00,C.CHENA_______110,BA S/E CHENA 110KV BP1,REAL-DEF,58.8742375
2026-04-01 00:00:00,C.CHENA_______220,BA S/E CHENA 220KV BT1,REAL-DEF,58.6177525
2026-04-01 00:00:00,C.COMBARBALA__023,BA S/E CENTRAL COMBARBALA BP 23KV,REAL-DEF,63.793929999999996
2026-04-01 00:00:00,C.COMBARBALA__110,,REAL-DEF,63.72065
2026-04-01 00:00:00,C.CONSTIT1____023,BA S/E CENTRAL CONSTITUCION 23KV,REAL-DEF,50.280912
2026-04-01 00:00:00,C.CORRENTOSO__013,"BA S/E CENTRAL CORRENTOSO 13,2KV B1",REAL-DEF,53.90945
2026-04-01 00:00:00,C.DOMINADOR___220,BA S/E CERRO DOMINADOR 220KV BP,REAL-DEF,61.513765
2026-04-01 00:00:00,C.DRAGON______013,BA S/E CERRO DRAGON 13.8KV,REAL-DEF,64.26555833333333
2026-04-01 00:00:00,C.DRAGON______110,BA S/E CERRO DRAGON 110KV,REAL-DEF,63.79167600000001
2026-04-01 00:00:00,C.HUICHAHUE___220,BA S/E CERROS DE HUICHAHUE 220KV BP1,REAL-DEF,57.2099125
2026-04-01 00:00:00,C.NAVIA_______110,BA S/E CERRO NAVIA 110KV BP1,REAL-DEF,58.46508333333333
2026-04-01 00:00:00,C.NAVIA_______220,BA S/E CERRO NAVIA 220KV BP1,REAL-DEF,58.28470000000001
2026-04-01 00:00:00,C.PABELLON____220,BA S/E CERRO PABELLON 220KV BP,REAL-DEF,61.91117333333333
2026-04-01 00:00:00,C.PALMAR______013,"BA S/E CENTRAL PALMAR 13,2KV B1",REAL-DEF,53.986959999999996
2026-04-01 00:00:00,C.PINTO_______220,BA S/E CARRERA PINTO 220KV BT1,REAL-DEF,59.81308
2026-04-01 00:00:00,C.RENAICO_____023,BA S/E PARQUE EOLICO RENAICO 33KV BP1,REAL-DEF,50.940160000000006
2026-04-01 00:00:00,C.SAN_ANDRES__023,BA S/E CENTRAL SAN ANDRES (SAN ANDRES SPA) 23KV BP1,REAL-DEF,57.362112
2026-04-01 00:00:00,C.SAN_ANDRES__220,BA S/E CENTRAL SAN ANDRES (HSA) 220KV BP1,REAL-DEF,57.4086175
2026-04-01 00:00:00,CABILDO_______023,BA S/E CABILDO 23KV BP1,REAL-DEF,62.668786
2026-04-01 00:00:00,CABILDO_______110,BA S/E CABILDO 110KV BP1,REAL-DEF,62.6510275
2026-04-01 00:00:00,CABRERO_______013,BA S/E CABRERO 13.2KV,REAL-DEF,57.7567025
2026-04-01 00:00:00,CABRERO_______023,BA S/E CABRERO 23KV,REAL-DEF,57.616908
2026-04-01 00:00:00,CABRERO_______066,BA S/E CABRERO 66KV,REAL-DEF,57.5819575
2026-04-01 00:00:00,CACHAPOAL_____013,BA S/E CACHAPOAL 15KV C1,REAL-DEF,62.335355
2026-04-01 00:00:00,CACHAPOAL_____066,BA S/E CACHAPOAL 15KV C2,REAL-DEF,62.1324225
2026-04-01 00:00:00,CACHIYUYAL____220,BA S/E CACHIYUYAL 220KV BP,REAL-DEF,60.025595
2026-04-01 00:00:00,CAHUIZA_______220,BA S/E CAHUIZA 220kV BP1 [EN_REVISION],REAL-DEF,64.45157999999999
2026-04-01 00:00:00,CAITAN________066,BA S/E CAITAN B1 66KV,REAL-DEF,60.15017
2026-04-01 00:00:00,CAITAN________220,,REAL-DEF,59.9410425
2026-04-01 00:00:00,CALAMA________023,BA S/E CALAMA 23 kV BP1-S1,REAL-DEF,61.809705
2026-04-01 00:00:00,CALAMA________110,BA S/E CALAMA 110 kV BP1,REAL-DEF,61.730785
2026-04-01 00:00:00,CALAMA________220,BA S/E CALAMA NUEVA 220kV BP1,REAL-DEF,62.166245
2026-04-01 00:00:00,CALBUCO_______013,BA S/E CALBUCO 23KV,REAL-DEF,60.3962275
2026-04-01 00:00:00,CALBUCO_______110,BA S/E CALBUCO 110KV BP1,REAL-DEF,60.3257675
2026-04-01 00:00:00,CALDERA_______013,BA S/E CALDERA 23KV B1,REAL-DEF,62.390315
2026-04-01 00:00:00,CALDERA_______110,BA S/E CALDERA 110KV BP1 [No_Mostrar],REAL-DEF,62.3593125
2026-04-01 00:00:00,CALERA.C______062,BA S/E CALERA CENTRO 62KV,REAL-DEF,58.455687999999995
2026-04-01 00:00:00,CALEU_________013,BA S/E CALEU 12KV BP1,REAL-DEF,57.9159475
2026-04-01 00:00:00,CALEU_________044,BA S/E CALEU 44KV BP1,REAL-DEF,57.9159475
2026-04-01 00:00:00,CALICHE_______220,BA S/E CALICHE 220kV B1 [En_Revision],REAL-DEF,62.253150000000005
2026-04-01 00:00:00,CALLAO________023,BA S/E CENTRAL CALLAO 23KV BP1,REAL-DEF,54.8832425
2026-04-01 00:00:00,CAMPO_LINDO1__033,BA S/E CAMPO LINDO 33KV BP1,REAL-DEF,54.832226000000006
2026-04-01 00:00:00,CAMPO_LINDO2__033,BA S/E CAMPO LINDO 33KV BP2,REAL-DEF,54.758948
2026-04-01 00:00:00,CAMPO_LINDO___220,,REAL-DEF,55.09886
2026-04-01 00:00:00,CANAL_MELADO__110,,REAL-DEF,56.9506125
2026-04-01 00:00:00,CANAL_MELADO__220,BA S/E CANAL MELADO 220KV BP1,REAL-DEF,56.9506125
2026-04-01 00:00:00,CANCURA_______066,BA S/E SECCIONADORA CANCURA 66kV BT1 [EN_REVISION],REAL-DEF,55.845757500000005
2026-04-01 00:00:00,CANDELARIA2___220,BA S/E CANDELARIA 220KV BP2,REAL-DEF,56.39819
2026-04-01 00:00:00,CANDELARIA____220,BA S/E CANDELARIA 220KV BP1,REAL-DEF,58.4923325
2026-04-01 00:00:00,CANETE________023,BA S/E CANETE 23KV B.PRINCIPAL,REAL-DEF,59.756425
2026-04-01 00:00:00,CANETE________066,BA S/E CANETE 66KV,REAL-DEF,59.556315
2026-04-01 00:00:00,CANTERAS______023,BA S/E LAS CANTERAS 23KV BP1,REAL-DEF,58.932015
2026-04-01 00:00:00,CANTERAS______110,BA S/E LAS CANTERAS 110KV BP1,REAL-DEF,58.937087999999996
2026-04-01 00:00:00,CANUTILLAR____013,BA S/E CENTRAL CANUTILLAR 13.8KV B1,REAL-DEF,56.3629525
2026-04-01 00:00:00,CANUTILLAR____220,BA S/E CANUTILLAR 220KV BP1-1,REAL-DEF,56.9351075
2026-04-01 00:00:00,CAPRICORNIO___110,BA S/E CAPRICORNIO 110KV BP,REAL-DEF,60.50192
2026-04-01 00:00:00,CAPRICORNIO___220,BA S/E CAPRICORNIO 220KV BP1 [NO_MOSTRAR],REAL-DEF,60.51883
2026-04-01 00:00:00,CAPULLO_______066,BA S/E CAPULLO 66KV,REAL-DEF,53.77698
2026-04-01 00:00:00,CARAMPANGUE___013,BA S/E CARAMPANGUE 13.2KV,REAL-DEF,58.434270000000005
2026-04-01 00:00:00,CARAMPANGUE___023,BA S/E CARAMPANGUE 23KV,REAL-DEF,58.313638000000005
2026-04-01 00:00:00,CARAMPANGUE___066,BA S/E CARAMPANGUE 66KV,REAL-DEF,58.2823525
2026-04-01 00:00:00,CARDONAL______023,BA S/E CARDONAL 23kV BP1,REAL-DEF,54.24109000000001
2026-04-01 00:00:00,CARDONAL______110,BA S/E CARDONAL 110kV BP1,REAL-DEF,54.238085999999996
2026-04-01 00:00:00,CARDONES______110,BA S/E CARDONES 110KV BP1-1,REAL-DEF,60.22571
2026-04-01 00:00:00,CARDONES______220,BA S/E CARDONES 220KV BP1-1,REAL-DEF,59.422435
2026-04-01 00:00:00,CAREBAJO______023,BA S/E CAREN BAJO 23KV,REAL-DEF,55.73866
2026-04-01 00:00:00,CARENA________044,BA S/E CARENA 44KV,REAL-DEF,59.5182625
2026-04-01 00:00:00,CARRASCAL_____012,BA S/E CARRASCAL 12KV BP1,REAL-DEF,58.4007325
2026-04-01 00:00:00,CARRASCAL_____110,BA S/E CARRASCAL 110KV BP1,REAL-DEF,58.3161775
2026-04-01 00:00:00,CASABLANCA____013,BA S/E CASABLANCA 12kV BP1,REAL-DEF,57.4382125
2026-04-01 00:00:00,CASABLANCA____066,BA S/E CASABLANCA 66kV BP1,REAL-DEF,57.3550675
2026-04-01 00:00:00,CASASVIEJAS___023,BA S/E CASAS VIEJAS 13.2KV,REAL-DEF,60.2820775
2026-04-01 00:00:00,CASASVIEJAS___110,BA S/E CASAS VIEJAS 110KV,REAL-DEF,60.2820775
2026-04-01 00:00:00,CASERONES_____220,BA S/E CASERONES 220KV BP1-1,REAL-DEF,60.25765333333334
2026-04-01 00:00:00,CASTILLA______023,BA S/E CASTILLA 23KV,REAL-DEF,59.742335
2026-04-01 00:00:00,CASTILLA______110,BA S/E CASTILLA 110KV BP1,REAL-DEF,59.804813333333335
2026-04-01 00:00:00,CASTRO________023,BA S/E CASTRO 23KV,REAL-DEF,60.914835
2026-04-01 00:00:00,CASTRO________110,BA S/E CASTRO 110KV BP1,REAL-DEF,60.46997666666667
2026-04-01 00:00:00,CATEMU________013,BA S/E CATEMU 12kV BP1,REAL-DEF,59.16877
2026-04-01 00:00:00,CATEMU________044,BA S/E CATEMU 44kV BP1,REAL-DEF,59.160313333333335
2026-04-01 00:00:00,CAUQUENES_____013,BA S/E CAUQUENES 13.2KV BP1,REAL-DEF,66.7575825
2026-04-01 00:00:00,CAUQUENES_____066,BA S/E CAUQUENES 66KV,REAL-DEF,66.7547625
2026-04-01 00:00:00,CAUTIN________220,BA S/E CAUTIN 220KV BP1,REAL-DEF,55.90495
2026-04-01 00:00:00,CD.ARICA______013,BA S/E CENTRAL DIESEL ARICA 13.8KV BP1,REAL-DEF,58.716122
2026-04-01 00:00:00,CD.ARICA______066,BA S/E CENTRAL DIESEL ARICA 66KV BP1,REAL-DEF,59.8240725
2026-04-01 00:00:00,CD.IQUIQUE____013,BA S/E CENTRAL DIESEL IQUIQUE 13.8KV BP1 [NO_MOSTRAR],REAL-DEF,63.914186666666666
2026-04-01 00:00:00,CD.IQUIQUE____066,BA S/E CENTRAL DIESEL IQUIQUE 66KV [NO_MOSTRAR],REAL-DEF,63.266308
2026-04-01 00:00:00,CD.TAMAYA_____110,BA S/E CENTRAL DIESEL TAMAYA 110KV BP,REAL-DEF,58.06561000000001
2026-04-01 00:00:00,CELPACIFICO___013,BA S/E CELULOSA PACIFICO 13.2KV B1,REAL-DEF,66.262935
2026-04-01 00:00:00,CELPACIFICO___220,BA S/E CELULOSA PACIFICO 220KV BP1,REAL-DEF,55.15804666666667
2026-04-01 00:00:00,CENTELLA______220,BA S/E CENTELLA 220kV BP1,REAL-DEF,58.3556325
2026-04-01 00:00:00,CENTINELA_____220,BA S/E CENTINELA 220KV BP1 (AIS),REAL-DEF,61.5884525
2026-04-01 00:00:00,CENTRAL_ELEC__013,,REAL-DEF,52.205664999999996
2026-04-01 00:00:00,CENTRAL_ELEC__023,,REAL-DEF,52.6848125
